week;rank;title;singer;writer;album;isMV
46;6;cang niu giu cang de mat;mr siro;mr siro;;false
46;7;chap nhan;hoa minzy;an trinh;chap nhan single;true
46;8;mau nuoc mat;nguyen tran trung quan;nguyen thuong;mau nuoc mat single;true
46;9;nguoi la thoang qua;khoi my;bao thach;nguoi la thoang qua single;false
46;10;chuyen tinh toi;kay tran nguyen khoa kass;nguyen khoa;chuyen tinh toi single;true
46;11;dung noi toi dien;hien ho;phuc bo;;false
46;12;con la gi cua nhau;chau khai phong;thanh hung;;false
46;13;tan cung noi nho;will;andiez;tan cung noi nho single;true
46;14;mai mai se het vao ngay mai;andiez;andiez;;false
46;15;buon khong em;dat g;dat g;;false
46;16;em ngu chua;trinh thang binh osad;trinh thang binhosad;;false
46;17;con yeu dau ai roi di;duc phuc;nguyen hong thuan;con yeu dau ai roi di single;true
46;18;yeu don phuong;onlyc karik;onlyckarik;;false
46;19;nhu loi don;bao anh;khac hung;nhu loi don single;false
46;20;dung quen ten anh;hoa vinh;dat g;;false
46;21;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
46;22;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
46;23;thay the;ho gia hung;dong thien duc;thay the single;false
46;24;tam tu em giau;wendy thao;wendy thao;tam tu em giau single;false
46;25;yeu mot nguoi sau anh;gin tuan kiet;andiez;yeu mot nguoi sau anh single;true
46;26;nguoi ta;si thanh;huynh quoc huy;;false
46;27;thanh xuan;da lab;da lab;;false
46;28;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
46;29;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
46;30;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
46;31;tan cung noi nho new version;will han sara;andiez;;false
46;32;don coi tinh toi;chau khai phong;duy cuong;don coi tinh toi single;true
46;33;sao em no;jaykii;duong khac linhtrang phap;;true
46;34;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
46;35;co mot noi nhu the;phan manh quynh;phan manh quynh;co mot noi nhu the single;false
46;36;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
46;37;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
46;38;tat ca se thay em;pham quynh anh;hamlet truong;tat ca se thay em single;true
46;39;cham day noi dau;erik;mr siro;cham day noi dau single;true
46;40;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
